Mã hiệu,Loại máy và thiết bị,Số ca năm,Định mức (%),Định mức (%),Định mức (%),"Định mức tiêu hao nhiên liệu, năng lượng (1ca)","Nhân công vận hành, điều khiển máy",Nguyên giá tham khảo (1.000 VND)
M112.1404,Máy phun bi 235 kW,250,"22,0","4,20",4,176 kWh,2 nhân công vận hành,3.123.015
M112.1500,Máy khoan đứng - công suất:,,,,,,,
M112.1501,"2,5 kW",220,"12,5","4,10",4,5 kWh,,42.900
M112.1502,"4,5 kW",220,"12,5","4,10",4,9 kWh,,57.200
M112.1600,"Máy khoan sắt cầm tay, đường kính khoan:",,,,,,,
M112.1601,"1,7 kW",130,"30,0","8,40",4,3 kWh,,4.150
M112.1700,Máy khoan bê tông cầm tay - công suất:,,,,,,,
M112.1701,"0,62 kW",150,"30,0","7,50",4,"0,9 kWh",,4.800
M112.1702,"0,75 kW",150,"20,0","7,50",4,"1,1 kWh",,6.250
M112.1703,"0,85 kW",150,"20,0","7,50",4,"1,3 kWh",,6.750
M112.1704,"1,00 kW",130,"20,0","7,50",4,"1,6 kWh",,8.400
M112.1705,"1,50 kW",110,"20,0","7,50",4,"2,3 kWh",,10.400
M112.1800,Máy luồn cáp - công suất:,,,,,,,
M112.1801,15 kW,240,"9,0","2,20",5,27 kWh,1 nhân công vận hành,94.900
M112.1900,Máy cắt cáp - công suất:,,,,,,,
M112.1901,10 kW,230,"13,3","3,50",4,13 kWh,1 nhân công vận hành,23.400
M112.2000,Máy cắt sắt cầm tay - công suất:,,,,,,,
M112.2001,"1,7 kW",130,"30,0","7,50",4,3 kWh,,7.750
M112.2100,Máy cắt gạch đá - công suất:,,,,,,,
M112.2101,"1,5 kW",120,"20,0","5,5",4,"2,7 kWh",,8.750
M112.2102,"1,7 kW",90,"14,0","7,00",4,3 kWh,,7.900
M112.2200,Máy cắt bê tông - công suất:,,,,,,,
M112.2201,"7,5 kW",120,"20,0","5,50",4,11 kWh,1 nhân công vận hành,17.400
M112.2202,12 cv (MCD 218),120,"20,0","4,50",5,8 lít xăng,1 nhân công vận hành,38.500
M112.2203,"Máy cắt vát 20,5cv",120,"20,0","4,50",5,34 lít xăng,1 nhân công vận hành,325.000
M112.2204,Máy cắt khe tạo nhám 55kW,120,"20,0","4,50",5,50 lít diezel,1 nhân công vận hành,4.776.400
M112.2300,Máy cắt ống - công suất:,,,,,,,
M112.2301,5 kW,240,"14,0","4,50",4,9 kWh,1 nhân công vận hành,28.200
M112.2400,Máy cắt tôn - công suất:,,,,,,,
M112.2401,5 kW,240,"13,0","3,80",4,10 kWh,1 nhân công vận hành,18.800
M112.2402,15 kW,240,"13,0","3,90",4,27 kWh,1 nhân công vận hành,156.600
M112.2500,Máy cắt đột - công suất:,,,,,,,
M112.2501,"2,8 kW",240,"14,0","4,10",4,5 kWh,1 nhân công vận hành,41.700
M112.2600,Máy cắt uốn cốt thép - công suất:,,,,,,,
M112.2601,5 kW,240,"14,0","4,10",4,9 kWh,1 nhân công vận hành,18.200
M112.2700,Máy cắt cỏ cầm tay - công suất:,,,,,,,
M112.2701,"0,8 kW",190,"20,5","10,50",4,2 kWh,,4.600
M112.2801,Máy cắt thép Plasma,230,"13,0","3,80",4,13 kWh,1 nhân công vận hành,68.900
M112.2900,Búa căn khí nén (chưa tính khí nén) - tiêu hao khí nén:,,,,,,,
M112.2901,"1,5 m3/ph",120,"30,0","6,60",5,,,5.400
M112.2902,"3,0 m3/ph",120,"30,0","6,60",5,,,6.100
M112.3000,Máy uốn ống - công suất:,,,,,,,
M112.3001,"2,0 kW÷2,8 kW",230,"14,0","4,50",4,5 kWh,1 nhân công vận hành,28.200
M112.3100,Máy lốc tôn - công suất:,,,,,,,
M112.3101,5 kW,230,"13,0","3,90",4,10 kWh,1 nhân công vận hành,54.800
M112.3102,Máy lốc tôn (chiều dày tôn đến 40mm),230,"13,0","3,90",4,32 kWh,1 nhân công vận hành,2.818.531
M112.3200,Máy cưa kim loại - công suất:,,,,,,,
M112.3201,"1,7 kW",230,"14,0","4,10",4,4 kWh,,22.700
M112.3202,"2,7 kW",230,"14,0","4,10",4,6 kWh,,27.300
M112.3300,Máy tiện - công suất:,,,,,,,
M112.3301a,"4,5kW",230,"14,0","4,10",4,10 kWh,1 nhân công vận hành,40.500
M112.3301,10 kW,230,"14,0","4,10",4,19 kWh,1 nhân công vận hành,111.400
M112.3400,Máy bào thép - công suất:,,,,,,,
M112.3401,"7,5 kW",230,"14,0","4,10",4,16 kWh,1 nhân công vận hành,72.900
M112.3500,Máy phay - công suất:,,,,,,,
M112.3501,7 kW,230,"14,0","4,10",4,15 kWh,1 nhân công vận hành,89.100
M112.3600,Máy ghép mí - công suất:,,,,,,,
M112.3601,"1,1 kW",220,"14,0","4,10",4,2 kWh,1 nhân công vận hành,6.100
M112.3700,Máy mài - công suất:,,,,,,,
M112.3701,"1,0 kW",220,"14,0","4,90",4,2 kWh,,3.500
M112.3702,"1,6 kW - 1,7 kW",220,"14,0","4,90",4,3 kWh,,7.400
M112.3703,"2,7 kW",230,"14,0","4,90",4,4 kWh,,11.200
M112.3800,Máy cưa gỗ cầm tay - công suất:,,,,,,,
M112.3801,"1,3 kW",180,"30,0","10,5",4,3 kWh,,7.600
M112.3900,Máy hàn một chiều - công suất:,,,,,,,
M112.3901,50 kW,200,"24,0","4,50",5,105 kWh,1 nhân công vận hành,26.000
M112.4000,Máy hàn xoay chiều - công suất:,,,,,,,
M112.4001,7 kW,200,"21,0","4,80",5,15 kWh,1 nhân công vận hành,4.300
M112.4002,14 kW ÷ 15 kW,200,"21,0","4,80",5,29 kWh,1 nhân công vận hành,8.600
M112.4003,23 kW,200,"21,0","4,80",5,48 kWh,1 nhân công vận hành,16.000
M112.4100,Máy hàn hơi - công suất:,,,,,,,
M112.4101,1000 l/h,160,"21,0","4,80",5,,1 nhân công vận hành,3.400
M112.4102,2000 l/h,160,"21,0","4,80",5,,1 nhân công vận hành,5.200
M112.4201,Máy hàn cắt dưới nước,90,"21,0","10,0",5,,2 thợ lặn,106.900
M112.4202,Máy hàn TIG,200,"21,0","4,80",5,40 kWh,1 nhân công vận hành,41.528
M112.4300,Máy hàn nối ống nhựa:,,,,,,,
M112.4301,Máy hàn nhiệt cầm tay,200,"21,0","6,50",5,6 kWh,,1.532
M112.4302,Máy gia nhiệt D315mm,200,"21,0","6,50",5,8 kWh,1 nhân công vận hành,50.000
M112.4303,Máy gia nhiệt D630mm,200,"21,0","6,50",5,12 kWh,1 nhân công vận hành,122.727
M112.4304,Máy gia nhiệt D1200mm,200,"21,0","6,50",5,18 kWh,1 nhân công vận hành,170.909
M112.4400,Máy quạt gió - công suất:,,,,,,,
M112.4401,"2,5 kW",160,"19,0","1,70",5,16 kWh,,3.600
M112.4402,"4,5 kW",160,"19,0","1,70",5,29 kWh,,7.900
M112.4500,Máy khoan khoan đập cáp - công suất:,,,,,,,
M112.4501,40 kW,200,"14,0","6,40",5,144 kWh,1 nhân công vận hành,630.000
M112.4600,Máy khoan xoay - công suất:,,,,,,,
M112.4601,54 cv,230,"14,0","6,50",5,19 lít diezel,1 nhân công vận hành,1.117.200
M112.4602,300 cv,230,"13,0","3,90",5,97 lít diezel,1 nhân công vận hành,7.036.900
M112.4700,Bộ kích chuyên dùng,,,,,,,
M112.4701,Bộ thiết bị trượt (60 kích loại 6 t),200,"18,0","4,50",5,65 kWh,2 nhân công vận hành,550.300
M112.4702,"Bộ kích lắp dựng, tháo dỡ ván khuôn 50-60 t",200,"13,0","2,20",5,14 kWh,1 nhân công vận hành,91.300
M112.4800,Một số máy và thiết bị chuyên dùng,,,,,,,
M112.4801,Máy xiết bu lông,230,14,"4,90",4,3 kWh,,37.900
M112.4802,"Máy xóa vạch sơn, công suất 13HP",200,20,"3,50",5,4 lít xăng,,34.166
M112.4803,Máy hiện sóng 2 tia (Oscilograf),220,10,"3,50",5,,,93.480
M112.4804,Vôn mét điện tử,200,10,"2,20",4,,,3.400
M112.4805,Đồng hồ vạn năng,200,10,"2,20",4,,,1.500
