Tháng,Khuếch tán / tổng cộng,12h,13h,14h,15h,16h,17h,18h,19h,Giờ mặt trời mọc / Giờ mặt trời lặn
5,tổng cộng,"80,8","75,4","63,7","47,8","30,8","15,4","3,7",-,5h33 / 18h27
6,khuếch tán,"33,7","32,3","28,8","23,9","17,7","10,9","3,9",-,5h26 / 18h34
6,tổng cộng,"71,3","67,1","57,2","43,8","29,2","15,5","4,6",-,
7,khuếch tán,"32,7","31,3","28,0","23,3","17,3","10,6","3,6",-,5h29 / 18h31
7,tổng cộng,"76,8","72,2","61,7","47,4","31,7","16,9","4,8",-,
8,khuếch tán,"33,8","32,3","28,7","23,6","17,1","9,9","2,4",-,5h41 / 18h19
8,tổng cộng,"67,4","63,5","53,9","40,9","26,7","13,4","2,7",-,5h41 / 18h19
9,khuếch tán,"31,9","30,7","27,5","22,5","16,1","8,6","0,5",-,5h57 / 18h03
9,tổng cộng,"65,8","62,2","52,8","39,6","25,1","11,5","0,5",-,5h57 / 18h03
10,khuếch tán,"30,1","28,8","25,2","19,7","13,0","5,7",-,6h13 / 17h47,
10,tổng cộng,"57,5","55,5","49,5","40,2","27,8","12,8",-,6h13 / 17h47,
11,khuếch tán,"29,0","27,4","23,1","16,9","9,9","3,2",-,6h27 / 17h33,
11,tổng cộng,"49,9","47,4","40,5","30,4","18,5","6,3",-,6h27 / 17h33,
12,khuếch tán,"26,0","24,8","21,3","16,2","9,8","3,0",-,6h34 / 17h26,
12,tổng cộng,"45,8","43,2","35,9","25,6","14,3","3,9",-,6h34 / 17h26,
Trạm Vinh,,,,,,,,,,
1,khuếch tán,"26,5","25,2","21,5","16,1","9,8","3,2",-,6h29 / 17h31,
1,tổng cộng,"30,8","29,6","25,9","20,2","12,9","4,6",-,6h29 / 17h31,
2,khuếch tán,"26,5","25,2","21,7","16,5","10,4","4,2",-,6h17 /17h43,
2,tổng cộng,"28,9","27,6","23,8","18,2","11,6","4,7",-,6h17 /17h43,
3,khuếch tán,"31,7","30,1","25,7","19,4","12,4","5,6",-,6h03 / 17h57,
3,tổng cộng,"36,1","34,0","28,6","21,1","12,9","5,5",-,6h03 / 17h57,
4,khuếch tán,"35,4","33,7","29,4","23,3","16,1","8,6","1,4",-,5h48 / 18h12
4,tổng cộng,"59,7","56,2","47,4","35,4","22,4","10,6","1,5",-,5h48 / 18h12
5,khuếch tán,"32,5","31,0","27,9","23,2","17,3","10,5","3,1",-,5h35 / 18h25
5,tổng cộng,"82,2","77,1","65,8","50,4","33,5","17,5","4,4",-,5h35 / 18h25
6,khuếch tán,"34,2","32,6","28,8","23,4","16,9","10,0","3,3",-,5h28 / 18h32
6,tổng cộng,"69,7","66,1","57,5","45,6","31,9","18,2","5,8",-,5h28 / 18h32
7,khuếch tán,"32,5","31,0","27,8","23,0","17,0","10,4","3,4",-,5h31 / 18h29
7,tổng cộng,"76,2","71,9","62,1","48,6","33,4","18,4","5,4",-,5h31 / 18h29
8,khuếch tán,"33,8","32,3","28,6","23,4","16,9","9,6","2,2",-,5h42 / 18h18
8,tổng cộng,"67,7","64,0","55,0","42,7","28,7","15,1","3,1",-,5h42 / 18h18
9,khuếch tán,"33,4","32,0","28,1","22,3","15,4","7,9","0,4",-,5h57 / 18h03
9,tổng cộng,"61,0","58,2","50,5","39,4","26,5","13,2","0,6",-,5h57 / 18h03
10,khuếch tán,"31,9","30,4","26,1","19,9","12,6","5,3",-,6h12 / 17h48,
10,tổng cộng,"46,4","45,2","41,3","34,7","25,0","12,1",-,6h12 / 17h48,
11,khuếch tán,"29,2","27,6","23,3","17,1","10,1","3,4",-,6h25 / 17h35,
11,tổng cộng,"41,3","39,3","33,6","25,3","15,5","5,4",-,6h25 / 17h35,
12,khuếch tán,"26,5","25,1","21,4","16,0","9,5","2,9",-,6h32 / 17h28,
12,tổng cộng,"32,8","31,3","27,0","20,5","12,5","4,0",-,6h32 / 17h28,
Trạm Hà Tĩnh,,,,,,,,,,
1,khuếch tán,"26,7","25,3","21,7","16,2","9,8","3,2",-,6h29 / 17h31,
1,tổng cộng,"31,0","29,7","26,1","20,4","13,0","4,6",-,6h29 / 17h31,
2,khuếch tán,"26,6","25,3","21,8","16,6","10,4","4,2",-,6h17 / 17h43,
2,tổng cộng,"29,7","28,3","24,4","18,7","11,9","4,8",-,6h17 / 17h43,
3,khuếch tán,"32,0","30,4","25,9","19,6","12,5","5,6",-,6h03 / 17h57,
3,tổng cộng,"37,0","35,0","29,4","21,7","13,3","5,6",-,6h03 / 17h57,
4,khuếch tán,"35,4","33,7","29,4","23,3","16,1","8,6","1,4",-,5h48 / 18h12
4,tổng cộng,"60,7","57,1","48,2","36,0","22,8","10,8","1,5",-,5h48 / 18h12
5,khuếch tán,"32,6","31,1","27,9","23,2","17,3","10,5","3,1",-,5h35 / 18h25
5,tổng cộng,"81,0","76,0","64,8","49,6","32,9","17,2","4,3",-,5h35 / 18h25
6,khuếch tán,"31,4","30,3","27,7","23,7","18,3","11,8","4,2",-,5h28 / 18h32
6,tổng cộng,"76,6","720,0","60,9","45,8","29,7","15,1","4,1",-,5h28 / 18h32
7,khuếch tán,"32,3","30,9","27,7","22,9","17,0","10,3","3,4",-,5h31 / 18h29
7,tổng cộng,"77,6","73,3","63,3","49,5","34,0","18,8","5,4",-,5h31 / 18h29
8,khuếch tán,"33,9","32,3","28,7","23,4","16,9","9,6","2,2",-,5h42 / 18h18
8,tổng cộng,"66,0","62,4","53,6","41,6","28,0","14,7","3,0",-,5h42 / 18h18
9,khuếch tán,"33,5","32,0","28,1","22,4","15,9","7,9","0,4",-,5h57 / 18h03
9,tổng cộng,"58,7","55,9","48,5","37,9","25,5","12,6","0,6",-,5h57 / 18h03
10,khuếch tán,"31,9","30,4","26,1","19,8","12,6","5,3",-,6h12 / 17h48,
10,tổng cộng,"45,2","43,9","40,2","33,7","24,3","11,8",-,6h12 / 17h48,
11,khuếch tán,"28,9","27,3","23,0","16,9","10,0","3,3",-,6h25 / 17h35,
11,tổng cộng,"38,8","36,9","31,5","23,7","14,5","5,1",-,6h25 / 17h35,
12,khuếch tán,"26,2","24,9","21,2","15,8","9,4","2,9",-,6h32 / 17h28,
12,tổng cộng,"32,3","30,8","26,6","20,2","12,4","3,9",-,6h32 / 17h28,
Trạm Đồng Hới,,,,,,,,,,
1,khuếch tán,"27,7","26,4","22,5","16,9","10,3","3,5",-,6h27 / 17h33,
1,tổng cộng,"34,7","33,3","29,2","22,9","14,7","5,4",-,6h27 / 17h33,
2,khuếch tán,"28,9","27,5","23,6","18,0","11,4","4,6",-,6h16 / 17h44,
2,tổng cộng,"33,3","31,7","27,4","21,0","13,4","5,5",-,6h16 / 17h44,
3,khuếch tán,"33,9","32,2","27,5","20,8","13,3","6,0",-,6h03 / 17h57,
3,tổng cộng,"45,3","42,8","35,9","26,5","16,2","6,9",-,6h03 / 17h57,
4,khuếch tán,"33,8","32,3","28,7","23,3","16,7","9,2","1,5",-,5h48 / 18h12
4,tổng cộng,"81,1","75,5","61,4","42,9","24,2","9,3","0,8",-,5h48 / 18h12
5,khuếch tán,"32,2","30,7","27,6","22,9","17,0","10,2","2,9",-,5h36 / 18h24
5,tổng cộng,"86,8","81,5","69,5","53,1","35,1","18,2","4,4",-,5h36 / 18h24
6,khuếch tán,"30,8","29,8","27,2","23,2","18,0","11,4","4,0",-,5h30 / 18h30
6,tổng cộng,"83,6","78,6","66,4","49,9","32,2","16,2","4,2",-,5h30 / 18h30
7,khuếch tán,"32,0","30,6","27,3","22,6","16,7","10,1","3,1",-,5h33 / 18h27
7,tổng cộng,"85,1","80,5","69,4","54,2","37,1","20,3","5,7",-,5h33 / 18h27
8,khuếch tán,"34,1","32,5","28,8","23,5","16,9","9,6","2,1",-,5h4 3/ 18h17
8,tổng cộng,"67,9","64,0","55,0,","42,6","28,6","14,9","2,9",-,5h4 3/ 18h17
9,khuếch tán,"33,1","31,6","27,7","22,1","15,2","7,8","0,4",-,5h57 / 18h03
9,tổng cộng,"68,8","65,5","56,8","44,4","29,8","14,8","0,6",-,5h57 / 18h03
10,khuếch tán,"32,3","30,7","26,4","20,1","12,8","5,4",-,6h12 / 17h48,
10,tổng cộng,"43,5","42,3","38,7","32,5","23,5","11,5",-,6h12 / 17h48,
11,khuếch tán,"29,6","28,1","23,7","17,4","10,3","3,6",-,6h24 / 17h36,
11,tổng cộng,"41,4","39,4","33,7","25,4","15,6","5,7",-,6h24 / 17h36,
12,khuếch tán,"26,6","25,3","21,6","16,1","9,7","3,1",-,6h30 / 17h30,
12,tổng cộng,"33,6","32,1","27,7","21,1","13,0","4,3",-,6h30 / 17h30,
Trạm Đông Hà,,,,,,,,,,
1,khuếch tán,"26,9","25,8","22,7","17,9","11,6","4,4",-,6h25 / 17h35,
1,tổng cộng,"37,5","35,3","29,3","20,9","11,8","3,7",-,6h25 / 17h35,
2,khuếch tán,"31,2","29,8","25,7","19,7","12,6","5,2",-,6h15 / 17h45,
2,tổng cộng,"43,2","40,6","33,7","24,0","13,8","4,9",-,6h15 / 17h45,
3,khuếch tán,"44,2","41,7","35,1","25,8","15,8","6,7",-,6h03 / 17h57,
3,tổng cộng,"51,6","48,7","40,9","30,1","18,5","7,8",-,6h03 / 17h57,
4,khuếch tán,"34,1","32,6","28,9","23,5","16,8","9,2","1,4",-,5h49 / 18h11
4,tổng cộng,"75,2","69,9","56,8","39,6","22,3","8,5","0,7",-,5h49 / 18h11
5,khuếch tán,"31,8","30,6","27,7","23,4","17,8","10,9","3,0",-,5h38 /18h22
5,tổng cộng,"77,9","72,6","60,1","43,5","26,3","11,7","2,1",-,5h38 /18h22
6,khuếch tán,"30,6","29,6","27,0","23,0","17,7","11,2","3,7",-,5h32 / 18h28
6,tổng cộng,"77,1","72,5","61,2","45,9","29,5","14,7","3,6",-,5h32 / 18h28
7,khuếch tán,"30,9","29,7","26,8","22,5","17,0","10,4","3,2",-,5h34 / 18h26
7,tổng cộng,"74,6","70,3","60,1","46,0","30,6","16,0","4,1",-,5h34 / 18h26
8,khuếch tán,"33,2","31,6","27,9","22,6","16,1","9,0","1,9",-,5h44 / 18h16
8,tổng cộng,"75,6","70,8","59,5","44,4","28,1","13,4","2,2",-,5h44 / 18h16
9,khuếch tán,"33,7","32,2","28,3","22,5","15,5","7,9","0,3",-,5h57 / 18h03
9,tổng cộng,"55,3","53,4","48,3","40,3","29,6","16,2","0,7",-,5h57 / 18h03
10,khuếch tán,*,"103,0","83,7","57,7","31,3","10,3",-,6h11 / 17h49,
10,tổng cộng,"52,2","49,2","41,0","29,6","17,5","6,7",-,6h11 / 17h49,
11,khuếch tán,"28,8","27,4","23,5","17,8","11,0","4,1",-,6h23 / 17h37,
11,tổng cộng,"39,1","36,8","30,2","21,2","11,7","3,7",-,6h23 / 17h37,
12,khuếch tán,"28,4","26,7","22,2","15,9","9,0","2,7",-,6h28 / 17h32,
12,tổng cộng,"34,3","32,4","27,2","19,7","11,4","3,6",-,6h28 / 17h32,
Trạm Huế,,,,,,,,,,
1,khuếch tán,"27,1","26,1","22,9","18,0","11,7","4,5",-,6h25 / 17h35,
1,tổng cộng,"39,8","37,4","31,1","22,1","12,5","3,9",-,6h25 / 17h35,
2,khuếch tán,"30,8","29,4","25,5","19,7","12,8","5,4",-,6h15 / 17h45,
2,tổng cộng,"47,3","44,5","36,8","26,3","15,1","5,4",-,6h15 / 17h45,
3,khuếch tán,"33,1","31,8","27,9","22,2","15,2","7,5",-,6h03 / 17h57,
3,tổng cộng,"59,3","55,7","46,1","33,0","19,3","7,6",-,6h03 / 17h57,
4,khuếch tán,"33,9","34,2","28,7","23,4","16,7","9,2","1,4",-,5h49 / 18h11
4,tổng cộng,"78,0","72,5","58,9","41,1","23,1","8,8","0,7",-,5h49 / 18h11
5,khuếch tán,"31,0","29,7","27,0","22,8","17,3","10,6","3,0",-,5h38 / 18h22
5,tổng cộng,"81,8","76,2","63,0","45,6","27,6","12,3","2,2",-,5h38 / 18h22
6,khuếch tán,"30,8","29,4","26,9","22,9","17,7","11,2","3,7",-,5h32 / 18h28
6,tổng cộng,"79,7","74,9","63,2","47,4","30,5","15,2","3,7",-,5h32 / 18h28
7,khuếch tán,"30,8","29,6","26,7","22,5","16,9","10,4","3,2",-,5h34 / 18h26
7,tổng cộng,"76,8","72,4","61,9","47,4","31,5","16,5","4,2",-,5h34 / 18h26
8,khuếch tán,"33,5","31,8","28,1","22,8","16,2","9,1","1,9",-,5h44 / 18h16
8,tổng cộng,"77,3","72,3","60,8","45,4","28,7","13,7","2,3",-,5h44 / 18h16
9,khuếch tán,"32,9","31,6","27,9","22,5","15,7","8,2","0,4",-,5h57 / 18h03
9,tổng cộng,"67,1","63,6","54,3","41,3","26,7","12,6","0,5",-,5h57 / 18h03
10,khuếch tán,"30,6","29,4","26,1","20,9","14,3","6,7",-,6h11 / 17h49,
10,tổng cộng,"53,4","50,3","41,9","30,3","17,9","6,8",-,6h11 / 17h49,
11,khuếch tán,"29,2","27,7","23,8","18,0","11,1","4,1",-,6h22 / 17h28,
11,tổng cộng,"41,1","38,6","31,7","22,3","12,3","3,9",-,6h22 / 17h28,
12,khuếch tán,"28,7","27,1","22,5","16,1","9,1","2,8",-,6h28 / 17h32,
12,tổng cộng,"37,0","34,9","29,3","21,2","12,3","3,9",-,6h28 / 17h32,
Trạm Đà Nẵng,,,,,,,,,,
1,khuếch tán,"27,4","26,3","23,1","18,2","11,8","4,5",-,6h25 / 17h35,
1,tổng cộng,"41,8","39,4","32,6","23,2","13,1","4,1",-,6h25 / 17h35,
2,khuếch tán,"31,1","29,7","25,8","19,9","12,9","5,4",-,6h15 / 17h45,
2,tổng cộng,"51,1","48,0","39,8","28,4","16,3","5,8",-,6h15 / 17h45,
3,khuếch tán,"32,6","31,2","27,4","21,9","15,0","7,4",-,6h03 / 17h57,
3,tổng cộng,"61,9","58,1","48,1","34,4","20,1","7,9",-,6h03 / 17h57,
4,khuếch tán,"33,4","31,9","28,3","23,0","16,4","9,0","1,4",-,5h49 / 18h11
4,tổng cộng,"79,1","73,5","59,7","41,6","23,4","8,9","0,7",-,5h49 / 18h11
5,khuếch tán,"30,8","29,6","26,9","22,7","17,2","10,5","2,9",-,5h38 / 18h22
5,tổng cộng,"81,6","76,0","62,9","45,5","27,5","12,3","2,2",-,5h38 / 18h22
6,khuếch tán,"30,4","29,4","26,8","22,9","17,6","11,1","3,7",-,5h32 / 18h28
6,tổng cộng,"77,6","73,0","61,6","46,2","29,7","14,8","3,6",-,5h32 / 18h28
7,khuếch tán,"30,8","29,6","26,7","22,5","16,9","10,4","3,2",-,5h34 / 18h26
7,tổng cộng,"75,7","71,3","60,9","46,7","31,0","16,2","4,1",-,5h34 / 18h26
8,khuếch tán,"33,7","32,1","28,3","22,9","16,3","9,2","1,9",-,5h44 / 18h16
8,tổng cộng,"75,2","70,3","59,1","44,1","27,9","13,3","2,2",-,5h44 / 18h16
9,khuếch tán,"33,0","31,6","28,0","22,5","15,8","8,2","0,4",-,5h57 / 18h03
9,tổng cộng,"37,8","35,5","29,5","21,5","12,9","5,5","0,2",-,5h57 / 18h03
10,khuếch tán,"30,6","29,4","26,1","20,9","14,3","6,7",-,6h11 / 17h49,
10,tổng cộng,"53,8","50,6","42,2","30,5","18,0","6,9",-,6h11 / 17h49,
11,khuếch tán,"29,4","28,0","24,0","182,0","11,3","4,2",-,6h22 / 17h38,
11,tổng cộng,"45,4","42,6","35,1","24,6","13,6","4,3",-,6h22 / 17h38,
12,khuếch tán,"29,2","27,6","22,9","16,4","9,2","2,8",-,6h28 / 17h32,
12,tổng cộng,"39,4","37,3","31,3","22,7","13,2","4,2",-,6h28 / 17h32,
Trạm Quảng Ngãi,,,,,,,,,,
1,khuếch tán,"27,8","26,7","23,5","18,5","12,1","4,7",-,6h24 / 17h36,
1,tổng cộng,"41,7","39,3","32,6","23,3","13,2","4,3",-,6h24 / 17h36,
2,khuếch tán,"29,5","28,5","25,5","20,7","14,3","6,5",-,6h14 / 17h46,
2,tổng cộng,"54,8","51,6","42,8","30,7","17,8","6,5",-,6h14 / 17h46,
3,khuếch tán,"31,9","30,6","26,9","21,4","14,7","7,2",-,6h03 / 17h57,
3,tổng cộng,"68,6","64,4","53,2","38,1","22,3","8,8",-,6h03 / 17h57,
4,khuếch tán,"32,7","31,2","27,6","22,4","16,0","9,7","1,2",-,5h50 / 18h10
4,tổng cộng,"79,3","74,5","63,0","47,3","30,2","14,3","1,7",-,5h50 / 18h10
5,khuếch tán,"29,4","28,4","26,2","22,6","17,5","10,9","3,0",-,5h39 / 18h21
5,tổng cộng,"77,6","73,2","63,1","49,2","33,4","17,8","4,3",-,5h39 / 18h21
6,khuếch tán,"30,1","29,1","26,5","22,6","17,4","10,9","3,4",-,5h34 / 18h26
6,tổng cộng,"80,8","76,1","64,1","48,0","30,7","15,2","3,6",-,5h34 / 18h26
7,khuếch tán,"30,6","29,4","26,6","22,3","16,8","10,2","3,0",-,5h36 / 18h24
7,tổng cộng,"77,4","73,0","62,3","47,6","31,5","16,4","3,9",-,5h36 / 18h24
8,khuếch tán,"33,1","31,4","27,7","22,4","16,0","8,9","1,7",-,5h45 / 18h15
8,tổng cộng,"81,4","76,0","63,9","47,5","30,0","14,2","2,2",-,5h45 / 18h15
9,khuếch tán,"32,6","31,2","27,6","22,2","15,5","8,1","0,3",-,5h57 / 18h03
9,tổng cộng,"72,8","68,9","58,8","44,7","28,9","13,6","0,5",-,5h57 / 18h03
10,khuếch tán,"30,7","29,5","26,2","21,0","14,4","6,7",-,6h10 / 17h50,
10,tổng cộng,"57,4","54,1","45,1","32,6","19,3","7,4",-,6h10 / 17h50,
11,khuếch tán,"29,6","28,2","24,2","18,3","11,4","4,3",-,6h21 / 17h39,
11,tổng cộng,"42,6","40,0","32,9","23,1","12,9","4,2",-,6h21 / 17h39,
12,khuếch tán,"29,5","27,8","23,1","16,6","9,4","3,0",-,6h26 / 17h34,
12,tổng cộng,"38,5","36,4","30,6","22,2","12,9","4,2",-,6h26 / 17h34,
Trạm Quy Nhơn,,,,,,,,,,
1,khuếch tán,"28,4","27,3","24,0","19,0","12,6","5,2",-,6h20 / 17h40,
1,tổng cộng,"45,7","43,1","35,8","25,7","14,8","5,0",-,6h20 / 17h40,
2,khuếch tán,"29,6","28,5","25,5","20,7","14,3","6,7",-,6h12 / 17h48,
2,tổng cộng,"54,8","52,1","44,8","34,2","21,9","9,3",-,6h12 / 17h48,
3,khuếch tán,"30,8","29,6","26,3","21,4","15,1","7,7",-,6h02 / 17h58,
3,tổng cộng,"68,7","65,0","55,3","41,8","26,6","12,0",-,6h02 / 17h58,
4,khuếch tán,"32,3","30,8","27,2","22,1","15,7","8,5","1,1",-,5h51 / 18h09
4,tổng cộng,"83,2","78,0","65,8","49,3","31,3","14,7","1,5",-,5h51 / 18h09
5,khuếch tán,"30,2","29,1","26,3","22,2","16,7","10,0","2,4",-,5h42 / 18h18
5,tổng cộng,"87,0","81,2","67,0","48,2","28,8","12,5","1,9",-,5h42 / 18h18
6,khuếch tán,"29,9","28,9","26,3","22,4","17,1","10,5","3,0",-,5h37 / 18h23
6,tổng cộng,"80,2","75,5","63,6","47,3","30,0","14,5","3,1",-,5h37 / 18h23
7,khuếch tán,"30,4","29,3","26,4","22,1","16,5","9,9","2,6",-,5h39 / 18h21
7,tổng cộng,"75,1","70,9","60,4","46,1","30,3","15,4","3,3",-,5h39 / 18h21
8,khuếch tán,"33,4","31,6","27,7","22,2","15,6","8,4","1,4",-,5h47 / 18h13
8,tổng cộng,"89,0","82,2","66,8","46,7","26,4","10,2","0,9",-,5h47 / 18h13
9,khuếch tán,"33,9","32,2","28,0","21,9","14,8","7,4","0,2",-,5h58 / 18h02
9,tổng cộng,"73,7","69,6","59,2","4,8","28,7","13,3","0,4",-,5h58 / 18h02
10,khuếch tán,"31,2","30,0","26,5","21,3","14,6","7,0",-,6h09 / 17h51,
10,tổng cộng,"51,9","49,8","44,0","35,2","24,1","11,4",-,6h09 / 17h51,
11,khuếch tán,"30,6","29,1","25,0","19,0","11,9","4,7",-,6h18 / 17h42,
11,tổng cộng,"44,4","41,7","34,4","24,3","13,7","4,6",-,6h18 / 17h42,
12,khuếch tán,"30,7","29,0","24,2","17,4","10,0","3,4",-,6h23 / 17h37,
12,tổng cộng,"39,6","37,4","31,5","23,0","13,6","4,7",-,6h23 / 17h37,
Trạm Tuy Hoà,,,,,,,,,,
1,khuếch tán,"28,4","27,3","24,1","19,1","12,6","5,2",-,6h20 / 17h40,
1,tổng cộng,"45,4","42,8","35,6","25,5","14,7","5,0",-,6h20 / 17h40,
2,khuếch tán,"29,5","28,5","25,5","20,7","14,3","6,7",-,6h12 / 17h48,
2,tổng cộng,"56,9","54,1","46,5","35,5","22,7","9,7",-,6h12 / 17h48,
3,khuếch tán,"30,7","29,5","26,3","21,3","15,0","7,7",-,6h02 / 17h58,
3,tổng cộng,"70,5","66,7","56,8","42,9","27,3","12,3",-,6h02 / 17h58,
4,khuếch tán,"32,3","30,8","27,2","22,1","15,7","8,5","1,1",-,5h51 / 18h09
4,tổng cộng,"84,2","78,9","66,6","49,9","31,7","14,9","1,6",-,5h51 / 18h09
5,khuếch tán,"30,2","29,1","26,4","22,2","16,7","10,0","2,4",-,5h42 / 18h18
5,tổng cộng,"86,2","80,4","66,4","47,7","28,5","12,3","1,8",-,5h42 / 18h18
6,khuếch tán,"30,1","29,1","26,5","22,5","17,2","10,6","3,0",-,5h37 / 18h23
6,tổng cộng,"80,0","75,3","63,4","47,2","29,9","14,5","3,0",-,5h37 / 18h23
7,khuếch tán,"30,7","29,5","26,6","22,3","16,7","10,0","2,6",-,5h39 / 18h21
7,tổng cộng,"73,2","69,1","58,9","44,9","29,5","15,0","3,2",-,5h39 / 18h21
8,khuếch tán,"33,3","31,6","27,8","22,5","15,9","8,8","1,5",-,5h47 / 18h13
8,tổng cộng,"79,4","74,0","62,1","46,1","29,0","13,5","1,9",-,5h47 / 18h13
9,khuếch tán,"32,8","31,4","27,7","22,3","15,6","8,1","0,3",-,5h58 / 18h02
9,tổng cộng,"72,5","68,6","58,4","44,4","28,6","13,4","0,4",-,5h58 / 18h02
10,khuếch tán,"31,3","30,1","26,7","21,4","14,7","7,0",-,6h09 / 17h51,
10,tổng cộng,"51,6","49,5","43,8","35,0","24,0","11,3",-,6h09 / 17h51,
11,khuếch tán,"30,6","29,1","25,0","19,0","12,0","4,7",-,6h18 / 17h42,
11,tổng cộng,"44,5","41,8","34,5","24,3","13,7","4,6",-,6h18 / 17h42,
12,khuếch tán,"30,8","29,0","24,2","17,4","10,1","3,4",-,6h23 / 17h37,
12,tổng cộng,"40,5","38,3","32,2","23,5","13,9","4,8",-,6h23 / 17h37,
Trạm Nha Trang,,,,,,,,,,
1,khuếch tán,"25,8","25,2","23,3","19,7","14,2","6,5",-,6h19 / 17h41,
1,tổng cộng,"64,5","61,2","52,1","39,0","24,0","9,2",-,6h19 / 17h41,
2,khuếch tán,"26,7","26,2","24,6","21,5","16,2","8,3",-,6h11 / 17h49,
2,tổng cộng,"75,7","71,1","58,8","41,8","24,1","8,8",-,6h11 / 17h49,
3,khuếch tán,"29,4","28,5","25,9","21,7","15,9","8,5",-,6h02 / 17h58,
3,tổng cộng,"85,1","79,9","66,4","48,0","28,5","11,6",-,6h02 / 17h58,
4,khuếch tán,"34,2","32,3","27,9","21,7","14,6","7,4","0,8",-,5h52 / 18h08
4,tổng cộng,"78,8","74,0","63,1","48,1","31,3","15,2","1,6",-,5h52 / 18h08
5,khuếch tán,"33,4","31,8","27,7","21,9","15,1","8,2","1,6",-,5h43 / 18h17
5,tổng cộng,"72,1","68,2","58,7","45,5","30,7","16,0","3,1",-,5h43 / 18h17
6,khuếch tán,"33,3","31,8","27,7","22,0","15,3","8,4","2,0",-,5h39 / 18h21
6,tổng cộng,"91,9","85,5","69,3","47,9","26,5","9,8","1,0",-,5h39 / 18h21
7,khuếch tán,"32,7","31,2","27,3","21,8","15,2","8,4","1,9",-,5h41 / 18h19
7,tổng cộng,"79,1","74,1","61,6","44,7","27,2","12,1","2,0",-,5h41 / 18h19
8,khuếch tán,"33,3","31,5","27,6","22,1","15,4","8,3","1,3",-,5h48 / 18h12
8,tổng cộng,"88,0","81,4","66,1","46,1","25,9","9,9","0,8",-,5h48 / 18h12
9,khuếch tán,"33,1","31,4","27,3","21,3","14,4","7,1","0,2",-,5h58 / 18h02
9,tổng cộng,"81,9","77,3","65,7","49,7","31,8","14,8","0,4",-,5h58 / 18h02
10,khuếch tán,"34,6","32,7","27,6","20,3","12,4","5,1",-,6h08 / 17h52,
10,tổng cộng,"69,5","66,0","56,4","42,7","27,1","11,8",-,6h08 / 17h52,
11,khuếch tán,"31,1","29,6","25,4","19,3","12,2","4,9",-,6h17 / 17h43,
11,tổng cộng,"62,7","59,1","49,3","35,6","20,8","7,5",-,6h17 / 17h43,
12,khuếch tán,"31,1","29,4","24,5","17,7","10,3","3,5",-,6h21 / 17h39,
12,tổng cộng,"59,2","56,0","47,2","34,5","20,5","7,3",-,6h21 / 17h39,
Trạm Plêiku,,,,,,,,,,
1,khuếch tán,"24,3","23,7","21,9","18,5","13,2","5,9",-,6h20 / 17h40,
1,tổng cộng,"59,1","56,1","47,8","35,6","21,8","8,1",-,6h20 / 17h40,
2,khuếch tán,"28,1","27,1","24,2","19,7","13,6","6,4",-,6h12 / 17h48,
2,tổng cộng,"69,5","66,2","56,9","43,4","27,8","11,8",-,6h12 / 17h48,
3,khuếch tán,"30,5","29,3","26,1","21,2","14,9","7,6",-,6h02 / 17h58,
3,tổng cộng,"59,8","56,7","48,2","36,4","23,2","10,4",-,6h02 / 17h58,
4,khuếch tán,"33,0","31,4","27,8","22,5","16,0","8,7","1,1",-,5h51 / 18h09
4,tổng cộng,"79,4","74,5","62,8","47,1","29,9","14,0","1,5",-,5h51 / 18h09
5,khuếch tán,"30,5","29,6","27,2","23,4","18,1","11,1","2,7",-,5h42 / 18h18
5,tổng cộng,"73,1","69,1","59,5","46,2","31,2","16,4","3,4",-,5h42 / 18h18
6,khuếch tán,"31,3","30,3","27,7","23,6","18,1","11,2","3,2",-,5h37 / 18h23
6,tổng cộng,"69,6","65,5","55,0","40,8","25,7","12,3","2,5",-,5h37 / 18h23
7,khuếch tán,"32,2","31,0","28,0","23,5","17,7","10,6","2,8",-,5h39 / 18h21
7,tổng cộng,"55,3","53,3","48,2","40,5","30,5","18,4","4,9",-,5h39 / 18h21
8,khuếch tán,"36,4","34,3","29,5","22,8","15,3","7,8","1,3",-,5h47 / 18h13
8,tổng cộng,"58,3","55,1","48,2","38,4","26,8","14,5","2,5",-,5h47 / 18h13
9,khuếch tán,"38,6","36,3","30,1","21,9","13,1","5,5","0,1",-,5h58 / 18h02
9,tổng cộng,"70,0","64,9","52,2","35,5","19,0","6,3","0,1",-,5h58 / 18h02
10,khuếch tán,"31,0","29,7","26,4","21,2","14,5","6,9",-,6h09 / 17h51,
10,tổng cộng,"56,8","54,5","48,2","38,5","26,4","12,5",-,6h09 / 17h51,
11,khuếch tán,"28,1","27,0","23,8","18,8","12,5","5,3",-,6h18 / 17h42,
11,tổng cộng,"57,4","53,8","44,0","30,5","16,6","5,3",-,6h18 / 17h42,
12,khuếch tán,"24,2","23,6","21,5","17,9","12,5","5,3",-,6h23 / 17h37,
12,tổng cộng,"53,1","50,3","42,5","31,4","18,8","6,7",-,6h23 / 17h37,
Trạm Buôn Ma Thuột,,,,,,,,,,
1,khuếch tán,"24,7","24,1","22,2","18,8","13,5","6,2",-,6h19 / 17h41,
1,tổng cộng,"55,3","52,6","45,1","34,2","21,3","8,3",-,6h19 / 17h41,
2,khuếch tán,"25,8","25,3","23,8","20,8","15,7","8,1",-,6h11 / 17h49,
